10.1006/jsvi.1991.0606	nordmark_friction_map
10.1038/261459a0	logistic_map_chaotic_r4
10.1038/261459a0	logistic_map_period_doubling
10.1038/35002125	repressilator_3gene_oscillator
10.1038/35002125	repressilator_elowitz_leibler
10.1038/35002131	toggle_switch_collins_gardner
10.1051/jphyslet:01979004001003500	coullet_attractor
10.1063/1.165869	wada_basin_boundaries
10.1063/1.1668896	brusselator_3d_oscillator
10.1063/1.1681288	belousov_zhabotinsky_reduced
10.1063/1.1681288	oregonator_field_noyes
10.1063/1.5004920	ring_intermittency_pre_chaos
10.1063/1.5009998	shilnikov_chaos_in_p53_mdm2_circuit
10.1073/pnas.0334157100	min_protein_e_coli_oscillator
10.1080/14786442608564127	van_der_pol_3d_forced
10.1086/282827	may_food_chain_heteroclinic
10.1088/0031-8949/53/1/015	lorenz_stenflo_hyperchaos_4d
10.1098/rspa.1982.0146	complex_lorenz_dimension_5
10.1098/rspb.1984.0024	hindmarsh_rose_homoclinic_burst
10.1098/rspb.1984.0024	hindmarsh_rose_neuron_3d
10.1098/rspb.1995.0153	goldbeter_circadian_oscillator
10.1098/rstb.1952.0012	turing_pattern_2morph_diffusion
10.1103/PhysRev.105.1577	kicked_rotor_1d_reduction
10.1103/PhysRev.105.1577	standard_map_chirikov_taylor
10.1103/PhysRevA.31.1109	noise_induced_chaos
10.1103/PhysRevE.50.R647	sprott_flow_a
10.1103/PhysRevE.50.R647	sprott_flow_b
10.1103/PhysRevE.50.R647	sprott_flow_c
10.1103/PhysRevE.50.R647	sprott_flow_d
10.1103/PhysRevE.50.R647	sprott_flow_e
10.1103/PhysRevE.50.R647	sprott_flow_f
10.1103/PhysRevE.50.R647	sprott_flow_g
10.1103/PhysRevE.50.R647	sprott_flow_h
10.1103/PhysRevE.50.R647	sprott_flow_i
10.1103/PhysRevE.50.R647	sprott_flow_j
10.1103/PhysRevE.50.R647	sprott_flow_k
10.1103/PhysRevE.50.R647	sprott_flow_l
10.1103/PhysRevE.50.R647	sprott_flow_m
10.1103/PhysRevE.50.R647	sprott_flow_n
10.1103/PhysRevE.50.R647	sprott_flow_o
10.1103/PhysRevE.50.R647	sprott_flow_p
10.1103/PhysRevE.50.R647	sprott_flow_q
10.1103/PhysRevE.50.R647	sprott_flow_r
10.1103/PhysRevE.50.R647	sprott_flow_s
10.1103/PhysRevE.55.6347	attractor_bubbling_intermittent_desynchronization
10.1103/PhysRevE.55.6347	blowout_bifurcation_synchronization_breaking
10.1103/PhysRevE.55.6347	subcritical_blowout_bifurcation
10.1103/PhysRevE.55.6347	supercritical_blowout_bifurcation
10.1103/PhysRevLett.50.935	chaotic_saddle_grebogi_ott_yorke
10.1103/PhysRevLett.50.935	crisis_double_attractor_merging
10.1103/PhysRevLett.50.935	crisis_induced_intermittency_boundary
10.1103/PhysRevLett.50.935	crisis_induced_intermittency_interior
10.1103/PhysRevLett.69.1893	on_off_intermittency_normal_form
10.1103/PhysRevLett.71.4134	riddled_basin_strong_form
10.1103/PhysRevLett.71.65	noise_induced_synchronization
10.1103/PhysRevLett.79.47	eyelet_intermittency_phase_synchronization
10.1103/RevModPhys.39.883	ising_heteroclinic_2state
10.1103/RevModPhys.74.99	ginzburg_landau_4d_truncation
10.1109/82.295877	colpitts_oscillator
10.1109/CICCAS.2007.4287145	gumowski_mira_map
10.1109/TCS.1986.1085869	chua_canonical_double_scroll
10.1109/TCS.1986.1085869	chua_circuit_two_scroll
10.1109/TCS.1990.1085869	chua_smooth_cubic_variant
10.1111/j.1432-1033.1968.tb00175.x	yeast_glycolytic_oscillator_selkov
10.1113/jphysiol.1952.sp004764	hodgkin_huxley_action_potential
10.1126/science.1074560	hes1_oscillator_with_delay
10.1126/science.261.5118.189	gray_scott_pearl_spots
10.1142/S0218127402004620	lu_attractor_2002
10.1142/S0218127405013575	chen_hyperchaos_4d
10.1142/S0218127405013575	hyperchaotic_chen_extended_5d
10.1142/S0218127406015015	lu_hyperchaos_4d
10.1142/S0218127407018923	zhou_attractor
10.1142/S0218127408020045	li_attractor_4d_reduced
10.1142/S0218127408022111	memristive_chua_circuit
10.1142/S0218127408022111	memristor_4d_chaos
10.1142/S0218127409023172	liu_hyperchaos_4d
10.1142/S0218127412500204	cai_3d_attractor
10.1142/S0218127412500459	bouali_attractor
10.1142/S0218127492000604	riddled_basin_alexander_yorke
10.1142/S0218127494000307	anishchenko_astakhov_attractor
10.1142/S0218127494000307	burgers_map_2d
10.1142/S0218127494000307	chua_hyperchaos_4d
10.1142/S0218127494000307	halvorsen_cyclically_symmetric
10.1142/S0218127494000307	kim_map_modified_henon
10.1142/S0218127494000307	nose_hoover_thermostat
10.1142/S0218127494000307	tinkerbell_map
10.1142/S0218127494000307	zaslavsky_map
10.1142/S0218127495000125	blue_sky_catastrophe_3d
10.1142/S0218127495000125	blue_sky_homoclinic_to_saddle_node_periodic
10.1142/S0218127495000242	lozi_map
10.1142/S0218127499001024	chen_attractor_1999
10.1142/S0218127499001358	thomas_cyclically_symmetric
10.1143/PTP.55.356	kuramoto_sivashinsky_5d_truncation
10.1143/PTP.55.356	kuramoto_sivashinsky_8d
10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2	lorenz_1963_strange_attractor
10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2	lorenz_heteroclinic_orbit
10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2	lorenz_modified_4d_passive
10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2	lorenz_modified_pucu
10.1175/1520-0469(1990)047<3157:LOTOAA>2.0.CO;2	lorenz_84_low_order_atmospheric
10.1175/1520-0469(1996)053<2473:CSPDPS>2.0.CO;2	lorenz_96_atmospheric_5d
10.1175/1520-0469(1996)053<2473:CSPDPS>2.0.CO;2	lorenz_96_atmospheric_8d
10.1201/9780429492563	cubic_map_period_doubling
10.1201/9780429492563	duffing_forced_oscillator
10.1201/9780429492563	duffing_iterated_map
10.1201/9780429492563	gauss_iterated_map
10.1201/9780429492563	predator_prey_discrete
10.1201/9780429492563	sine_map_period_doubling
10.1201/9780429492563	tent_map_period_doubling
